Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,60.779998779296875,61.5,60.5099983215332,61.380001068115234,55.73998260498047,5126200
2019-01-02,60.52000045776367,62.400001525878906,59.720001220703125,62.0,56.30300521850586,5355300
2019-01-03,62.18000030517578,62.400001525878906,60.72999954223633,61.2400016784668,55.61284637451172,5465500
2019-01-04,62.279998779296875,63.41999816894531,62.029998779296875,63.209999084472656,57.401824951171875,6367400
2019-01-07,63.54999923706055,65.33000183105469,62.75,64.4800033569336,58.55513000488281,5771600
2019-01-08,65.30000305175781,66.30999755859375,64.9000015258789,64.98999786376953,59.01826477050781,5420100
2019-01-09,65.4800033569336,66.22000122070312,65.25,65.77999877929688,59.73567199707031,4515800
2019-01-10,65.80999755859375,66.27999877929688,65.04000091552734,66.19000244140625,60.10800552368164,4983200
2019-01-11,65.66000366210938,66.25,65.19000244140625,66.22000122070312,60.13524627685547,3894600
2019-01-14,65.44999694824219,66.47000122070312,65.4000015258789,65.58000183105469,59.554054260253906,6604000
2019-01-15,65.80999755859375,66.52999877929688,65.3499984741211,65.5199966430664,59.499568939208984,4499700
2019-01-16,65.51000213623047,65.66999816894531,65.08000183105469,65.13999938964844,59.154483795166016,4484500
2019-01-17,64.6500015258789,66.0999984741211,64.44999694824219,65.83000183105469,59.78108596801758,4767500
2019-01-18,66.55999755859375,67.2300033569336,65.86000061035156,67.02999877929688,60.870819091796875,4596200
2019-01-22,66.3499984741211,66.4000015258789,64.86000061035156,65.12000274658203,59.13631820678711,4140800
2019-01-23,65.26000213623047,65.70999908447266,63.939998626708984,64.56999969482422,58.63685989379883,3730600
2019-01-24,64.54000091552734,65.16000366210938,64.01000213623047,64.9800033569336,59.009193420410156,4035100
2019-01-25,65.55000305175781,66.69999694824219,65.41999816894531,66.52999877929688,60.4167594909668,3474700
2019-01-28,65.63999938964844,66.13999938964844,64.98999786376953,66.08000183105469,60.00811004638672,3795300
2019-01-29,66.56999969482422,66.81999969482422,66.0,66.4800033569336,60.371360778808594,3887200
2019-01-30,66.95999908447266,67.45999908447266,66.44000244140625,66.97000122070312,60.81633377075195,3894100
2019-01-31,67.27999877929688,67.38999938964844,66.20999908447266,66.77999877929688,60.6437873840332,5914100
2019-02-01,67.26000213623047,68.2300033569336,66.77999877929688,68.04000091552734,61.78801345825195,5387200
2019-02-04,67.47000122070312,67.91000366210938,67.12999725341797,67.73999786376953,61.51557540893555,3250900
2019-02-05,67.61000061035156,67.63999938964844,67.01000213623047,67.30000305175781,61.11601257324219,2916300
2019-02-06,66.83999633789062,67.16000366210938,66.4800033569336,66.62999725341797,60.507564544677734,3205500
2019-02-07,66.0999984741211,66.20999908447266,64.45999908447266,64.91999816894531,58.95469665527344,4421700
2019-02-08,64.5999984741211,64.9800033569336,63.380001068115234,64.95999908447266,58.99102020263672,4651500
2019-02-11,64.4800033569336,65.05999755859375,63.939998626708984,64.83999633789062,58.882049560546875,5489500
2019-02-12,65.86000061035156,66.2699966430664,65.58000183105469,65.75,59.70843505859375,3903100
2019-02-13,66.12999725341797,68.05000305175781,64.87999725341797,65.8499984741211,59.79924011230469,7206200
2019-02-14,65.68000030517578,67.36000061035156,65.29000091552734,66.56999969482422,60.453086853027344,5701600
2019-02-15,67.56999969482422,68.26000213623047,66.5,67.19000244140625,61.01611328125,6058100
2019-02-19,65.69000244140625,67.75,65.63999938964844,67.62999725341797,61.41568374633789,5082900
2019-02-20,67.5,68.30999755859375,67.3499984741211,68.25,61.978721618652344,4017600
2019-02-21,68.19000244140625,68.19000244140625,66.41000366210938,66.5999984741211,60.48032760620117,4122700
2019-02-22,67.18000030517578,67.20999908447266,65.73999786376953,65.93000030517578,59.87188720703125,5035900
2019-02-25,65.77999877929688,66.37000274658203,65.66999816894531,66.2300033569336,60.14433288574219,3594600
2019-02-26,66.27999877929688,66.87999725341797,65.95999908447266,66.04000091552734,59.97178649902344,2764700
